Date,year,max_customer,daily_ci,daily_ci_3day_avg,customer_minutes,total_min,total_max,rolling_max_customer,rolling_daily_ci,rolling_daily_ci_3_day_avg,rolling_customer_minutes,saifi_max_method_min,saifi_max_method_max,saifi_sum_method_min,saifi_sum_method_max,saifi_moving_avg_min,saifi_moving_avg_max,saidi_max,saidi_min,caidi_max_method,caidi_sum_method,caidi_moving_avg_method
2019-05-05,2019,450451,577238,527801,76710960,124059690,142667100,177434208,253024252,253214182,44151384180,1.43023255982664,1.24369394205111,2.03953638768564,1.77352908974809,2.04106734427597,1.77486037075121,355.888235574343,309.471379035531,248.832424579594,174.494673261597,174.363788912897
2019-05-06,2019,361517,457533,512707.666666667,51466350,124059690,142667100,177393829,253101369,253073794.666667,44079058920,1.4299070794067,1.24341091253695,2.04015799974996,1.7740696278259,2.03993573308676,1.77387635037557,355.305247981838,308.964427818327,248.481354557153,174.155750694497,174.174726300913
2019-05-07,2019,404004,503352,580120.333333334,51525045,124059690,142667100,177364308,253095763,252965759.333333,44074473825,1.42966912137214,1.24320399026825,2.04011281182469,1.77403033355272,2.03906489959255,1.7731190956663,355.268289200142,308.932289399588,248.496861189231,174.141492147381,174.230986601325
2019-05-08,2019,579286,779476,678129.333333333,115148910,124059690,142667100,177174211,252700146,252815588.333333,44026789125,1.4281368186556,1.24187153870794,2.03692388720301,1.77125732562027,2.03785442582787,1.77206649839615,354.883920191966,308.598051863394,248.494342808164,174.225420214043,174.14586424533
2019-05-09,2019,593881,751560,675398.333333333,156775500,124059690,142667100,177150843,252650856,252640484.666667,44029455165,1.42794845771419,1.24170774481292,2.0365265784559,1.77091183601545,2.03644297891335,1.77083913997457,354.905410169895,308.616739002895,248.542171289583,174.269962358647,174.277116445103
2019-05-10,2019,429854,495159,572781.333333334,152254755,124059690,142667100,177115359,252570452,252500152,43997724255,1.42766243410732,1.24145902594221,2.03587847108114,1.770348258288,2.03531180837224,1.76985550277534,354.649638855296,308.394326757886,248.412811307912,174.199808040095,174.248307997058
2019-05-11,2019,387046,471625,502333.333333333,95862825,124059690,142667100,176930234,252279148,252235762.333333,43906851645,1.42617020887284,1.24016142474334,2.03353037557969,1.76830641402257,2.03318065951425,1.76800230980607,353.917147826179,307.757371145835,248.15912267996,174.040748088304,174.070683866693
2019-05-12,2019,432232,540216,503596.666666667,82128825,124059690,142667100,176728435,251857687,252083901.333333,43817087130,1.42454358059415,1.23874695006767,2.03013313188192,1.76535225710763,2.03195656327477,1.76693786677751,353.193588747481,307.128182531221,247.934562030157,173.975579828143,173.819458117876
2019-05-13,2019,387504,498949,517078,50299425,124059690,142667100,176860107,252114869,252085203.666667,43779313830,1.42560494065397,1.23966988184382,2.0322061823627,1.76715492920232,2.03196706090969,1.76694699525445,352.889111926686,306.86341721392,247.536397962261,173.648281847272,173.668716740272
2019-05-14,2019,380645,512069,478712.333333333,49190205,124059690,142667100,176945472,252283055,252215585.666667,43750585035,1.4262930368438,1.24026823283013,2.03356186848444,1.76833379945341,2.0330180227491,1.76786088500198,352.657539568251,306.662047767145,247.254617710704,173.418642940565,173.465033571802
2019-05-15,2019,323072,425119,501297.333333334,41115300,124059690,142667100,176929783,252248833,252197243.333333,43696959420,1.42616657352602,1.24015826353798,2.03328601740017,1.76809392635022,2.03287017187721,1.76773231763548,352.225283006914,306.286168429862,246.973452852763,173.229580094826,173.265016074125
2019-05-16,2019,455836,566704,498037,69289785,124059690,142667100,176771894,252059842,251676300,43622318655,1.42489388777289,1.23905156830131,2.03176262974702,1.76676922710281,2.0286710373047,1.76408085676375,351.623630971511,305.762987086721,246.771801036425,173.063342057479,173.327081870641
