Year,Date,RegionCode,RegionName,NERC,UtilitiesWithOutage,Outages,CI,CMI
2022,2022-08-01,4,Midwest,RFC,1,204,13125,3324693.47
2022,2022-07-30,2,Mid-Atlantic,RFC,1,44,2321,4698707
2022,2022-07-30,5,Southwest,WECC,1,42,12801,1653017
2022,2022-07-29,0,Multiple or Unknown,WECC,1,46,6209,6253409.667
2022,2022-07-29,2,Mid-Atlantic,RFC,1,66,2382,4582644
2022,2022-07-28,2,Mid-Atlantic,RFC,1,352,30600,125796914
2022,2022-07-27,2,Mid-Atlantic,RFC,1,111,15579,25716690
2022,2022-07-27,6,South,SPP RE,1,125,7219,1219005
2022,2022-07-26,6,South,SERC,1,554,48907,13454794
2022,2022-07-24,2,Mid-Atlantic,RFC,1,271,19549,10248747
2022,2022-07-24,4,Midwest,MRO,1,46,8643,1491188.714
2022,2022-07-24,4,Midwest,RFC,1,1164,50551,21706656
2022,2022-07-23,2,Mid-Atlantic,RFC,6,1656,157926,76426236
2022,2022-07-23,4,Midwest,MRO,1,98,7760,3777223.3
2022,2022-07-23,4,Midwest,RFC,3,1803,137408,76985435.5
2022,2022-07-21,4,Midwest,RFC,1,141,9517,10740062
2022,2022-07-19,4,Midwest,MRO,1,193,18242,2089820
2022,2022-07-17,5,Southwest,WECC,1,117,50243,12424357
2022,2022-07-13,6,South,SPP RE,1,229,18551,8814684
2022,2022-07-12,2,Mid-Atlantic,RFC,4,573,36041,22636639
2022,2022-07-09,3,Southeast,SERC,1,357,17426,7379836
2022,2022-07-06,2,Mid-Atlantic,RFC,2,1302,162406,142110023.2
2022,2022-07-06,2,Mid-Atlantic,SERC,2,635,54838,15182341.46
2022,2022-07-05,4,Midwest,MRO,1,267,35560,9552196.6
2022,2022-07-05,4,Midwest,RFC,2,1273,109718,36088140.89
2022,2022-07-03,4,Midwest,MRO,1,19,6874,1501317
2022,2022-06-26,3,Southeast,SERC,1,392,23126,11826107
2022,2022-06-22,2,Mid-Atlantic,RFC,4,1331,109614,55871190.53
2022,2022-06-22,2,Mid-Atlantic,SERC,1,238,16909,4731125.933
2022,2022-06-21,6,South,SPP RE,1,663,55445,9669933
2022,2022-06-20,4,Midwest,MRO,2,392,34885,10678615.07
2022,2022-06-18,2,Mid-Atlantic,RFC,1,499,14670,15818480
2022,2022-06-17,2,Mid-Atlantic,RFC,4,2634,183736,180505758
2022,2022-06-17,2,Mid-Atlantic,SERC,1,759,38476,13381096.47
2022,2022-06-17,4,Midwest,RFC,1,437,26538,8428209.84
2022,2022-06-17,4,Midwest,SERC,1,1205,84023,36230336
2022,2022-06-17,6,South,SERC,1,1345,70225,21607283
2022,2022-06-16,2,Mid-Atlantic,RFC,3,720,39460,20772547
2022,2022-06-16,4,Midwest,RFC,1,926,47282,22648473
2022,2022-06-15,2,Mid-Atlantic,RFC,3,656,48090,21898523
2022,2022-06-15,4,Midwest,MRO,1,52,10008,1873639
2022,2022-06-14,2,Mid-Atlantic,RFC,6,3649,212032,231272970.7
2022,2022-06-14,4,Midwest,MRO,1,45,1122,797150.034
2022,2022-06-14,4,Midwest,RFC,1,292,4609,5769980
2022,2022-06-13,2,Mid-Atlantic,RFC,6,2573,323301,387781771.6
2022,2022-06-13,4,Midwest,MRO,1,157,17565,11210655.98
2022,2022-06-13,4,Midwest,RFC,2,1033,142308,115992419.3
2022,2022-06-11,6,South,SPP RE,1,361,32552,12647856
