Year,Date,RegionCode,RegionName,NERC,UtilitiesWithOutage,Outages,CI,CMI
2022,2022-09-30,3,Southeast,FRCC,1,1495,87137,75783614.25
2022,2022-09-29,3,Southeast,FRCC,1,3394,317959,480946724.4
2022,2022-09-28,3,Southeast,FRCC,1,3345,369112,787984914.3
2022,2022-09-24,2,Mid-Atlantic,RFC,1,12,7780,2517735
2022,2022-09-18,4,Midwest,SERC,1,185,12758,5000275
2022,2022-09-11,5,Southwest,WECC,1,85,38838,2894362
2022,2022-09-09,0,Multiple or Unknown,WECC,1,38,3136,309452.924
2022,2022-09-09,7,Northwest,WECC,1,137,11626,8642795.017
2022,2022-09-07,5,Southwest,WECC,1,220,65723,33611157
2022,2022-09-06,5,Southwest,WECC,1,411,197634,36347065
2022,2022-09-02,0,Multiple or Unknown,WECC,1,34,8706,21991257.14
2022,2022-08-30,4,Midwest,RFC,2,1651,99663,127731302.5
2022,2022-08-29,2,Mid-Atlantic,RFC,1,134,13824,5873964
2022,2022-08-29,4,Midwest,RFC,4,5300,513329,849000710.2
2022,2022-08-27,4,Midwest,MRO,1,339,32488,11673083.35
2022,2022-08-23,6,South,TRE,1,101,1013,156852
2022,2022-08-12,5,Southwest,WECC,1,100,28257,1771820
2022,2022-08-09,2,Mid-Atlantic,RFC,2,272,151786,19484986
2022,2022-08-03,2,Mid-Atlantic,RFC,1,60,5181,1707352
2022,2022-08-03,4,Midwest,MRO,2,905,87276,33779467
2022,2022-08-03,4,Midwest,RFC,2,1924,137472,106109081.3
2022,2022-08-03,6,South,SERC,1,591,29937,11475211
2022,2022-08-02,4,Midwest,MRO,1,41,4081,2713045.86
2022,2022-08-01,2,Mid-Atlantic,RFC,1,91,9280,5000395
2022,2022-08-01,4,Midwest,RFC,1,208,13299,3395447.44
2022,2022-07-30,2,Mid-Atlantic,RFC,1,44,2321,4698707
2022,2022-07-30,5,Southwest,WECC,1,42,12801,1653017
2022,2022-07-29,0,Multiple or Unknown,WECC,1,46,6209,6253409.667
2022,2022-07-29,2,Mid-Atlantic,RFC,1,66,2382,4582644
2022,2022-07-28,2,Mid-Atlantic,RFC,1,353,30620,125867854
2022,2022-07-27,2,Mid-Atlantic,RFC,1,111,15579,25716690
2022,2022-07-27,6,South,SPP RE,1,135,18835,2420465
2022,2022-07-26,6,South,SERC,1,554,48907,13454794
2022,2022-07-24,2,Mid-Atlantic,RFC,1,280,21790,10723670
2022,2022-07-24,4,Midwest,MRO,1,46,8643,1491188.714
2022,2022-07-24,4,Midwest,RFC,1,1165,50555,21708096
2022,2022-07-23,2,Mid-Atlantic,RFC,6,1689,182748,83635198
2022,2022-07-23,4,Midwest,MRO,1,98,7760,3777223.3
2022,2022-07-23,4,Midwest,RFC,3,1804,137409,76985461.5
2022,2022-07-21,4,Midwest,RFC,1,141,9517,10740062
2022,2022-07-19,4,Midwest,MRO,1,199,30737,20969930
2022,2022-07-17,5,Southwest,WECC,1,131,55019,12552539
2022,2022-07-13,6,South,SPP RE,1,239,23127,10622793
2022,2022-07-12,2,Mid-Atlantic,RFC,4,577,38233,23153951
2022,2022-07-09,3,Southeast,SERC,1,358,20091,8489275
2022,2022-07-06,2,Mid-Atlantic,RFC,2,1312,176173,146384689.3
2022,2022-07-06,2,Mid-Atlantic,SERC,2,635,54838,15182341.46
2022,2022-07-05,4,Midwest,MRO,1,267,35560,9552196.6
2022,2022-07-05,4,Midwest,RFC,2,1274,111227,37016175.89
2022,2022-07-03,4,Midwest,MRO,1,21,7315,1525212
